Lista de comprobación y resultados de la prueba para la aplicación móvil Urban.Lunch,,,,
,,,,
#,Descripción,Estado,Enlace al informe de errores,
1,El mapa muestra los puntos de recogida y la ubicación del usuario o usuaria,PASSED,,
2,El mapa muestra los puntos recogido (restaurantes) de pedidos en color rojo,PASSED,,
3,Al tocar el punto esta en negro y se selecciona,PASSED,,
4,Tocar el punto recogida cuando se selecciona otro punto cambia la selección un nuevo punto,PASSED, ,
5,"Al dar clic en el botón “elegir el restaurante"" sale la lista emergente con restaurantes disponibles",PASSED,,
ELECCION DE PLATILLOS ,,,,
6,La lista de platillos contiene el nombre de los platillos,PASSED,,
7,En el campo del platillo tiene el botón “+”,PASSED,,
8,En el campo del platillo tiene el botón “-”,PASSED,,
9,En el campo del platillo tiene un contador,PASSED,,
10,En el campo del platillo contiene una flecha,PASSED,,
11,"Al tocar cualquier parte de la lista, excepto +, aparecen los detalles del platillo",PASSED,,
12,"Al hacer clic en +, el platillo se agrega a la lista de pedidos",PASSED,,
13,"Al hacer clic en -, el platillo se elimina",PASSED,,
14,El progreso de pedido aparece al pie de pagina,PASSED,,
15,"El progreso son círculos amarillos con números 1, 2, 3",PASSED,,
16,El circulo del progreso en el paso que va se hace mas grande y de mayor intensidad,PASSED,,
17,Al completarse el pedido el paso 1 se marca completado con una paloma blanca y el circulo de color verde,PASSED,,
18,La lista de platillos presentan la fotografía del platillo,PASSED,,
19,En la pantalla de la descripción del platillo “ nombre del platillo “,PASSED,,
20,La descripción consta de fotografía del platillo ampliada,PASSED,,
21,Descripción del platillo debajo de la fotografía,PASSED,,
22,Debajo de la descripción lleva la lista de ingredientes,PASSED,,
23,También lleva el nombre del restaurante,PASSED,,
24,Frente al nombre del restaurante lleva el  costo del platillo resaltado,PASSED,,
25,Al tocar el botón “ +” el platillo se agrega a la lista de pedidos,PASSED,,
26,El botón siguiente es un circulo negro con una flecha gris ,PASSED,,
CONFIRMACION DE PEDIDO,,,,
27,"La pantalla cambia a ""pedido"" al hacer clic en el botón flecha de siguiente ",PASSED,,
28,"La pantalla tiene de titulo ""Pedido""",PASSED,,
29,"La información de la pantalla consta del campo ""Ubicación"" con el nombre del restaurante (punto de recogida) ",PASSED,,
30,"La pantalla de pedido también cuenta con el botoncito de ""Atrás""",PASSED,,
31,La pantalla de pedido también cuenta con las lista de platillos seleccionados ,PASSED,,
32,La pantalla de pedido debajo de la lista se encuentra el importe ,PASSED,,
33,El importe se encuentra resaltado en negro,PASSED,,
34,La pantalla del pedido cuenta con el tiempo estimado de entrega,FAILED,https://arqjesuslv21.atlassian.net/browse/PEAM-1,
35,La pantalla cuenta con pie de pagina,PASSED,,
36,Si la lista del platillos es larga aparece barra de desplazamiento ,PASSED,,
37,El importe total cuenta con el costo de los platillos mas el costo de entrega,FAILED,https://arqjesuslv21.atlassian.net/browse/PEAM-2,
38,El progreso del pedido se encuentra en el pie de pagina,PASSED,,
39,El paso 1 se encuentra marcado de verde con una palomita blanca ,PASSED,,
40,El paso 2 cambia a estado completo ,PASSED,,
41,El paso 2 se marca con de verde con una palomita blanca ,PASSED,,
42,El paso 3 se resalta de tono amarillo mas fuerte se marca en curso,PASSED,,
43,"Un clic en botón ""pedir"" lleva al usuario a la siguiente pantalla de los pedidos ",PASSED,,
SEGUIMIENTO DE PEDIDOS,,,,
44,El mapa muestra el punto recogida desde el punto recoger el pedido,PASSED,,
45,El punto del restaurante en el mapa esta con una marca roja ,PASSED,,
46,El punto recogida en el mapa es de color verde,PASSED,,
47,La ruta se marca en color verde,PASSED,,
48,Frente al campo General se muestra el costo de los platillos pedidos al restaurante ,PASSED,,
49,"Frente al campo ""Tiempo de Entrega"" se muestra el tiempo de preparación ",PASSED,,
